Reference,Value,Footprint,Qty
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C23,C24,C25,C27,C28",0.1uF,-- mixed values --,15
"C10,C18",4.7uF,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2
C12,2.2uF,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1
"C13,C14,C17,C21,C22,C26",0.22uF,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,6
C15,470pF,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1
"C16,C19",1uF,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2
C20,10uF,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1
CN1,CAN,Rick_Connector:CONN-SMD_2P-P1.00_XUNPU_WAFER-SH1.0-2PWB,1
CN2,SWD,Rick_Connector:CONN-SMD_4P-P1.00_WAFER-SH1.0-4PWB,1
CN3,I2C,Rick_Connector:CONN-SMD_4P-P1.00_WAFER-SH1.0-4PWB,1
CN4,SPI,Rick_Connector:CONN-SMD_6P-P1.00_XUNPU_WAFER-SH1.0-6PWB,1
CN5,USART,Rick_Connector:CONN-SMD_4P-P1.00_WAFER-SH1.0-4PWB,1
CN6,POWER,Rick_Connector:CONN-SMD_4P-P1.00_WAFER-SH1.0-4PWB,1
CN7,WAFER-SH1.0-6PWB,Rick_Connector:CONN-SMD_6P-P1.00_XUNPU_WAFER-SH1.0-6PWB,1
"D1,D2,D3",LED,LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,3
D4,TVS_24V,Diode_SMD:D_SMA_Handsoldering,1
D5,D_200V,Diode_SMD:D_SMA_Handsoldering,1
"D6,D7,D8,D10,D12",D_Zener_5.6V,Diode_SMD:D_SOD-523,5
D9,D_100V,Diode_SMD:D_SOD-323_HandSoldering,1
D11,D_Zener_16V,Diode_SMD:D_SOD-523,1
"H1,H2,H3,H4",MountingHole_Pad,MountingHole:MountingHole_2.2mm_M2_Pad_Via,4
H5,B+,CawBMS:POWER_PAD,1
H6,P+,CawBMS:POWER_PAD,1
H7,B-,CawBMS:POWER_PAD,1
H8,P-,CawBMS:POWER_PAD,1
L1,39nH,Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,1
L2,1uH,Inductor_SMD:L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1
"L3,L4,L5,L6",220ohm,Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,4
"Q1,Q2,Q3,Q5,Q6",CSD13381F4,Rick_MOSFET:CSD13381F4_PICOSTAR-3_L1.0-W0.6-P0.40-S0.65-BL-1,5
Q4,TP0610K-T1-GE3,Package_TO_SOT_SMD:SOT-23,1
"Q7,Q8,Q9,Q10",BSC0702LS,Rick_MOSFET:BSC0702LS_PG-TDSON-8_L5.0-W6.0-P1.27-BL-EP,4
R1,120,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1
"R2,R3,R4,R5,R6,R14,R18,R19,R24,R27,R31",10k,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,11
"R7,R11",0,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,2
"R8,R9,R10",510,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,3
"R12,R15,R21,R23,R25,R29,R33,R34,R37",100,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,9
"R13,R16,R22,R26,R30",28.7,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,5
R17,499k,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1
R20,NTC 10k,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1
"R28,R32,R35",1M,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,3
"R36,R38,R39",0.0015,Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,3
"SW1,SW2,SW3",B3U-1000P,Rick_Switch:B3U-1000P,3
U1,SIT1051AT/3,Rick_CAN:ISO1044BDR_SOP-8,1
U2,STM32F103C_8-B_Tx,Package_QFP:LQFP-48_7x7mm_P0.5mm,1
U3,TPS61240DRVR,Rick_DC-DC:TPS61240DRVR_WSON-6_L2.0-W2.0-P0.65-TL-EP,1
U4,BQ7692003PW,Rick_BMS:BQ7692003PW_TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1
X1,Crystal_16MHz_15pF_3P,Rick_Crystal:Crystal_SMD3213-3P,1
